votu,taxa,consensus_domain,sub_domain_consensus
4Wh2oV_0h_scaffold_1683494,"Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas",Bacteria,Gammaproteobacteria
4Wh2oV_0h_scaffold_1683772,"Bacteria,Terrabacteria group,Actinobacteria",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_1684223,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Frankiales,Frankiaceae",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_1684228,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Corynebacteriales,Gordoniaceae,Gordonia",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_1684396,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Arthrobacter,unclassified Arthrobacter",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_1684833,"Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Devosiaceae,Devosia,unclassified Devosia",Bacteria,Alphaproteobacteria
4Wh2oV_0h_scaffold_1684910,"Bacteria,Terrabacteria group,Actinobacteria,Thermoleophilia,Miltoncostaeales,Miltoncostaeaceae,Miltoncostaea",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_1685214,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Mycetocola,unclassified Mycetocola",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_1685301,"Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae",Bacteria,Gammaproteobacteria
4Wh2oV_0h_scaffold_1685359,cellular organisms,unknown,unknown
4Wh2oV_0h_scaffold_1685551,"Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia",Bacteria,Betaproteobacteria
4Wh2oV_0h_scaffold_1685690,"Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter",Bacteria,Gammaproteobacteria
